Код в проекте;Device_ID Устройство;Идентификатор объекта;Имя объекта;Тип Объекта;Описание;Текущее значение 85;Флаги состояния 111;PropertyList-371 адрес регистра;PropertyList-371 Количество регистров для чтения;PropertyList-371 Функция для чтения регистра;PropertyList-371Функция для записи в регистр;PropertyList-371 Тип данных;PropertyList-371 Длина данных в битах;PropertyList-371 Бит регистра;PropertyList-371 Извлекаемые данные из массива/Номер слова;PropertyList-371 Коэфф. Преобразования(делитиь значение на него);Состояние события 36;Достоверность 103;Отключен 81;Единицы - 117;Макс. Значение - 65;Мин. Значение - 69;Высокий предел - 45;Низкий предел - 59;Класс уведомления - 17;"356.Задержка по времени (normal)
5";113.Задержка по времени (offnormal);Предел включения 52;"35.Уведомление разрешено
TO_OFFNORMAL, TO_FAULT, TO_NORMAL
[true,true,true]";Признаный переход - 0;Тип уведомления - 72;Отметки времени событий 130;Тексты сообщений о событиях 351;Имя профиля 168;Разрешение - 106;Logs - 133;Приращение COV - 22;Нечувствительность 25;Приоритетный массив - 87;Освободить по умолчанию - 104;Полярность - 84;Неактивный текст - 46;Активный текст - 4;Время COS - 16;Число COS - 15;Сброс числа состояний - 115;Затраченное активное время - 33;Сброс активного времени - 114;Активировать собитие-353;Сигнальное значение мультистейт - 7;Сигнальное значение - 6;Минимально выключенное время - 66;Минимальное включеное время - 67;Значение обратной связи - 40;Состояние текст 110;Число состояний 74;Тайм-аут APDU;Число повторов APDU;Конфигурация;Интервал обновления в сек.;Глобальная переменная;Шаблон;Подстановка;
BI_3013;400;775;Site:Engineering.Ventilation.RetFans.VENTILATOR 2.BI_3013;3;Включение вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN2_SET_ON;;;
BI_3014;400;776;Site:Engineering.Ventilation.RetFans.VENTILATOR 2.BI_3014;3;Статус шиберная заслонка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN2_SCHIBER_STATUS;;;
BI_3015;400;777;Site:Engineering.Ventilation.RetFans.VENTILATOR 2.BI_3015;3;Авария шиберной заслонки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN2_SCHIBER_ALARM;;;
BV_3016;400;778;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.BV_3016;5;Включение вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN2_REMOTE_SET_ON;;;
AI_3010;400;779;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.AI_3010;0;Текущая скорость вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN2_SPEED;;;
AV_3011;400;780;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.AV_3011;2;Уставка скорости вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN2_SET_SPEED;;;
VENTILATOR 3;1;781;Site:Engineering.Ventilation.RetFans.VENTILATOR 3;;Вытяжной вентилятор №3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MONO_EF.svg;;
BI_3020;400;782;Site:Engineering.Ventilation.RetFans.VENTILATOR 3.BI_3020;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_STATUS;;;
BI_3021;400;783;Site:Engineering.Ventilation.RetFans.VENTILATOR 3.BI_3021;3;Вентилятор авто;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_AUTO;;;
BI_3022;400;784;Site:Engineering.Ventilation.RetFans.VENTILATOR 3.BI_3022;3;Вентилятор авария;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_ALARM;;;
BI_3023;400;785;Site:Engineering.Ventilation.RetFans.VENTILATOR 3.BI_3023;3;Включение вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_SET_ON;;;
BI_3024;400;786;Site:Engineering.Ventilation.RetFans.VENTILATOR 3.BI_3024;3;Статус шиберная заслонка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_SCHIBER_STATUS;;;
BI_3025;400;787;Site:Engineering.Ventilation.RetFans.VENTILATOR 3.BI_3025;3;Авария шиберной заслонки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_SCHIBER_ALARM;;;
BV_3026;400;788;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.BV_3026;5;Включение вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_REMOTE_SET_ON;;;
AI_3020;400;789;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.AI_3020;0;Текущая скорость вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_SPEED;;;
AV_3021;400;790;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.AV_3021;2;Уставка скорости вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN3_SET_SPEED;;;
VENTILATOR 4;1;791;Site:Engineering.Ventilation.RetFans.VENTILATOR 4;;Вытяжной вентилятор №4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MONO_EF.svg;;
BI_3030;400;792;Site:Engineering.Ventilation.RetFans.VENTILATOR 4.BI_3030;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_STATUS;;;
BI_3031;400;793;Site:Engineering.Ventilation.RetFans.VENTILATOR 4.BI_3031;3;Вентилятор авто;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_AUTO;;;
BI_3032;400;794;Site:Engineering.Ventilation.RetFans.VENTILATOR 4.BI_3032;3;Вентилятор авария;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_ALARM;;;
BI_3033;400;795;Site:Engineering.Ventilation.RetFans.VENTILATOR 4.BI_3033;3;Включение вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_SET_ON;;;
BI_3034;400;796;Site:Engineering.Ventilation.RetFans.VENTILATOR 4.BI_3034;3;Статус шиберная заслонка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_SCHIBER_STATUS;;;
BI_3035;400;797;Site:Engineering.Ventilation.RetFans.VENTILATOR 4.BI_3035;3;Авария шиберной заслонки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_SCHIBER_ALARM;;;
BV_3036;400;798;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.BV_3036;5;Включение вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_REMOTE_SET_ON;;;
AI_3030;400;799;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.AI_3030;0;Текущая скорость вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_SPEED;;;
AV_3031;400;800;Site:Engineering.Ventilation.RetFans.VENTILATOR 1.AV_3031;2;Уставка скорости вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN4_SET_SPEED;;;
VENTILATOR5;1;801;Site:Engineering.Ventilation.RetFans.VENTILATOR5;;Вытяжной вентилятор №5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MINI_EF.svg;;
BI_3040;400;802;Site:Engineering.Ventilation.RetFans.VENTILATOR5.BI_3040;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN5_STATUS;;;
VENTILATOR6;1;803;Site:Engineering.Ventilation.RetFans.VENTILATOR6;;Вытяжной вентилятор №6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MINI_EF.svg;;
BI_3045;400;804;Site:Engineering.Ventilation.RetFans.VENTILATOR6.BI_3045;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN6_STATUS;;;
VENTILATOR 7;1;805;Site:Engineering.Ventilation.RetFans.VENTILATOR 7;;Вытяжной вентилятор №7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MINI_EF.svg;;
BI_3041;400;806;Site:Engineering.Ventilation.RetFans.VENTILATOR5.BI_3041;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN7_STATUS;;;
VENTILATOR8;1;807;Site:Engineering.Ventilation.RetFans.VENTILATOR8;;Вытяжной вентилятор №8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MINI_EF.svg;;
BI_3042;400;808;Site:Engineering.Ventilation.RetFans.VENTILATOR8.BI_3042;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN8_STATUS;;;
VENTILATOR 9;1;809;Site:Engineering.Ventilation.RetFans.VENTILATOR 9;;Вытяжной вентилятор №9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MINI_EF.svg;;
BI_3043;400;810;Site:Engineering.Ventilation.RetFans.VENTILATOR 9.BI_3043;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN9_STATUS;;;
VENTILATOR 10;1;811;Site:Engineering.Ventilation.RetFans.VENTILATOR 10;;Вытяжной вентилятор №10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MINI_EF.svg;;
BI_3044;400;812;Site:Engineering.Ventilation.RetFans.VENTILATOR 10.BI_3044;3;Статус вентилятора;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAN17_STATUS;;;
Heat_supply;1;813;Site:Engineering.Heat_supply;;Теплоснабжение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MAIN_HEAT.svg;;
ITP;1;814;Site:Engineering.Heat_supply.ITP;;Индивидуальный тепловой пункт №1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/ITP.svg;;
sensor_te_2;500;815;Site:Engineering.Heat_supply.ITP.sensor_te_2;0;Температура обр. ГВС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;RET_TEMP_GVS;;;
sensor_te_1;500;816;Site:Engineering.Heat_supply.ITP.sensor_te_1;0;Температура подачи ГВС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;SUP_TEMP_GVS;;;
sensor_te_3;500;817;Site:Engineering.Heat_supply.ITP.sensor_te_3;0;Температура подачи Отопления;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;RET_TEMP_HEAT;;;
sensor_te_4;500;818;Site:Engineering.Heat_supply.ITP.sensor_te_4;0;Температура обр. Отопления;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;SUP_TEMP_HEAT;;;
sensor_te_5;500;819;Site:Engineering.Heat_supply.ITP.sensor_te_5;0;Температура ХВС подпитка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CW_TEMP;;;
sensor_te_6;500;820;Site:Engineering.Heat_supply.ITP.sensor_te_6;0;Температура подачи теплоносителя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;HEAT_SUP_TEMP;;;
sensor_te_7;500;821;Site:Engineering.Heat_supply.ITP.sensor_te_7;0;Температура обр. теплоносителя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;HEAT_RET_TEMP;;;
sensor_pe_1;500;822;Site:Engineering.Heat_supply.ITP.sensor_pe_1;0;Давление подачи теплоносителя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;HEAT_SUP_PRESSURE;;;
sensor_pe_2;500;823;Site:Engineering.Heat_supply.ITP.sensor_pe_2;0;Давление обр. теплоносителя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;HEAT_RET_PRESSURE;;;
sensor_pds_1;500;824;Site:Engineering.Heat_supply.ITP.sensor_pds_1;3;Перепад давления насосов ГВС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PUMP_DPS_GVS;;;
sensor_pds_2;500;825;Site:Engineering.Heat_supply.ITP.sensor_pds_2;3;Перепад давления насосов Отопления;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PUMP_DPS_HEAT;;;
flowmeter_fde_1;500;826;Site:Engineering.Heat_supply.ITP.flowmeter_fde_1;0;Расход подачи теплоносителя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SUP_HEAT_FLOW;;;
flowmeter_fde_2;500;827;Site:Engineering.Heat_supply.ITP.flowmeter_fde_2;0;Расход обр. теплоносителя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RET_HEAT_FLOW;;;
nc1_status;500;828;Site:Engineering.Heat_supply.ITP.nc1_status;3;Насос НЦ-1 статус;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC1_STATUS;;;
nc1_alarm;500;829;Site:Engineering.Heat_supply.ITP.nc1_alarm;3;Насос НЦ-1 авария;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC1_ALARM;;;
nc1_auto;500;830;Site:Engineering.Heat_supply.ITP.nc1_auto;3;Насос НЦ-1 авто\ручн;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC1_AUTO;;;
nc1_control;500;831;Site:Engineering.Heat_supply.ITP.nc1_control;5;Насос НЦ-1 управление;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC1_CONTROL;;;
nc2_status;500;832;Site:Engineering.Heat_supply.ITP.nc2_status;3;Насос НЦ-2 статус;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC2_STATUS;;;
nc2_alarm;500;833;Site:Engineering.Heat_supply.ITP.nc2_alarm;3;Насос НЦ-2 авария;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC2_ALARM;;;
nc2_auto;500;834;Site:Engineering.Heat_supply.ITP.nc2_auto;3;Насос НЦ-2 авто\ручн;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC2_AUTO;;;
nc2_control;500;835;Site:Engineering.Heat_supply.ITP.nc2_control;5;Насос НЦ-2 управление;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC2_CONTROL;;;
nc3_status;500;836;Site:Engineering.Heat_supply.ITP.nc3_status;3;Насос НЦ-3 статус;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC3_STATUS;;;
nc3_alarm;500;837;Site:Engineering.Heat_supply.ITP.nc3_alarm;3;Насос НЦ-3 авария;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC3_ALARM;;;
nc3_auto;500;838;Site:Engineering.Heat_supply.ITP.nc3_auto;3;Насос НЦ-3 авто\ручн;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC3_AUTO;;;
nc3_control;500;839;Site:Engineering.Heat_supply.ITP.nc3_control;5;Насос НЦ-3 управление;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC3_CONTROL;;;
nc4_status;500;840;Site:Engineering.Heat_supply.ITP.nc4_status;3;Насос НЦ-4 статус;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC4_STATUS;;;
nc4_alarm;500;841;Site:Engineering.Heat_supply.ITP.nc4_alarm;3;Насос НЦ-4 авария;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC4_ALARM;;;
nc4_auto;500;842;Site:Engineering.Heat_supply.ITP.nc4_auto;3;Насос НЦ-4 авто\ручн;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC4_AUTO;;;
nc4_control;500;843;Site:Engineering.Heat_supply.ITP.nc4_control;5;Насос НЦ-4 управление;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC4_CONTROL;;;
gvs_set_temp;500;844;Site:Engineering.Heat_supply.ITP.gvs_set_temp;2;Уставка температуры ГВС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SET_TEMP_GVS;;;
valve1_pos;500;845;Site:Engineering.Heat_supply.ITP.valve1_pos;0;Положение клапана регулирования ГВС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VALVE_GVS_STATUS;;;
valve2_pos;500;846;Site:Engineering.Heat_supply.ITP.valve2_pos;0;Положение клапана регулирования Отопления;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VALVE_HEAT_STATUS;;;
valve1_set_pos;500;847;Site:Engineering.Heat_supply.ITP.valve1_set_pos;2;Управление  клапаном ГВС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VALVE_GVS_SET;;;
valve2_set_pos;500;848;Site:Engineering.Heat_supply.ITP.valve2_set_pos;2;Управление  клапаном Отопление;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VALVE_HEAT_SET;;;
WC_WS;1;849;Site:Engineering.WC_WS;;Водоснабжение и водоотведение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MAIN_WS.svg;;
KNS;1;850;Site:Engineering.WC_WS.KNS;;Канализационная насосная станция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/KNS.svg;;
FIT1;600;851;Site:Engineering.WC_WS.KNS.FIT1;0;Расход;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;KNS5_WQE-1;;;
FIT2;600;852;Site:Engineering.WC_WS.KNS.FIT2;0;Расход;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;KNS5_WQE-2;;;
Alarm;600;853;Site:Engineering.WC_WS.KNS.Alarm;3;Авария;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ctrl;600;854;Site:Engineering.WC_WS.KNS.Ctrl;4;Управление;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_MKO-CONTROL;;;
Alarm1;600;855;Site:Engineering.WC_WS.KNS.Alarm1;5;Авария;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_MKO-ALARM;;;
Pres;600;856;Site:Engineering.WC_WS.KNS.Pres;3;Давл. воздуха в канале;active;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start;600;857;Site:Engineering.WC_WS.KNS.Start;4;Запуск;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_GK-START;;;
AlarmN;600;858;Site:Engineering.WC_WS.KNS.AlarmN;5;Нет сети;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_GK-STOP;;;
DOP2;600;859;Site:Engineering.WC_WS.KNS.DOP2;5;Открыта дверца;active;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_GK-ALARM;;;
Stop;600;860;Site:Engineering.WC_WS.KNS.Stop;4;Останов;active;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
PI2;600;861;Site:Engineering.WC_WS.KNS.PI2;0;Давление 2;5.266250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_PE2-STSTUS;;;
Al1;600;862;Site:Engineering.WC_WS.KNS.Al1;3;Авария Н1;active;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Al2;600;863;Site:Engineering.WC_WS.KNS.Al2;3;Авария Н2;active;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Al3;600;864;Site:Engineering.WC_WS.KNS.Al3;3;Авария Н3;active;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alarm;600;865;Site:Engineering.WC_WS.KNS.Alarm;3;Общая Авария;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Over;600;866;Site:Engineering.WC_WS.KNS.Over;3;Переполнение;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Work1;600;867;Site:Engineering.WC_WS.KNS.Work1;3;Работа Н1;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_N1-STATUS;;;
Work2;600;868;Site:Engineering.WC_WS.KNS.Work2;3;Работа Н2;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_N2-STATUS;;;
Work3;600;869;Site:Engineering.WC_WS.KNS.Work3;3;Работа Н3;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_N3-STATUS;;;
Per1;600;870;Site:Engineering.WC_WS.KNS.Per1;5;Переполнение;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_LEVEL-HI-ALARM;;;
AlaP1;600;871;Site:Engineering.WC_WS.KNS.AlaP1;5;Неисправность Н1;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_N1-ALARM;;;
AlaP2;600;872;Site:Engineering.WC_WS.KNS.AlaP2;5;Неисправность Н2;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_N2-ALARM;;;
AlaP3;600;873;Site:Engineering.WC_WS.KNS.AlaP3;5;Неисправность Н3;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_N3-ALARM;;;
Alarm1;600;874;Site:Engineering.WC_WS.KNS.Alarm1;5;Общая неисправность;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNS5_COM-ALARM;;;
LOS;1;875;Site:Engineering.WC_WS.LOS;;Локальные очистные сооружения поверхностного стока;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/LOS.svg;;
2_Vlm;700;876;Site:Engineering.WC_WS.LOS.2_Vlm;0;Расход воды на полив территории;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LOS_FQI-2-ST;;;
3_Vlm;700;877;Site:Engineering.WC_WS.LOS.3_Vlm;0;Расход воды на полив территории;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LOS_FQI-3-ST;;;
4_Vlm;700;878;Site:Engineering.WC_WS.LOS.4_Vlm;0;Расход воды на полив территории;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LOS_FQI-4-ST;;;
Press;700;879;Site:Engineering.WC_WS.LOS.Press;0;Давление;65535.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;LOS_MPC-PRESS;;;
State;700;880;Site:Engineering.WC_WS.LOS.State;0;Режим работы;0.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UST;700;881;Site:Engineering.WC_WS.LOS.UST;1;Уставка;5000.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALN79;700;882;Site:Engineering.WC_WS.LOS.ALN79;3;Авария насосной станции;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LOS_MPC-ALARM;;;
WRN79;700;883;Site:Engineering.WC_WS.LOS.WRN79;3;Предупреждение насосной станции;inactive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
